"SpeciesCategory","cohort","Source","ProcDate","Lengthmm","Weightg","Phenosex","PhenoSex","Maturity","Comments"
"0",2003,"File2",2004-01-19,70,3.5,,,,
"0",2003,"File2",2004-01-19,69,3.6,,,,
"0",2003,"File2",2004-01-19,73,4,,,,
"0",2003,"File2",2004-01-22,80,5.3,,,,
"Parr",2008,,2010-01-12,136,26,,"Immature",,"no tag"
"Parr",2008,,2010-01-12,111,13.6,,"Immature",,"no tag"
"Parr",2008,,2010-01-12,96,9.7,,"Immature",,"no tag"
"Parr",2008,,2010-01-12,105,13.5,,"Immature",,
"Parr",2008,,2010-01-19,106,12.1,,"Immature",,"dead on screen, no tag"
"Parr",2008,,2010-01-19,111,14.22,,"Immature",,"dead on screen, not prev. clipped"
"Parr",2008,,2010-01-14,119,15.95,,"Immature",,"no tag"
"Parr",2008,,2010-01-14,105,12.6,,"Immature",,"no tag"
"Parr",2008,,2010-01-14,99,7.84,,"Immature",,"no tag"
"Parr",2008,,2010-01-19,95,8.06,,"Immature",,"no tag"
"Parr",2008,,2010-01-19,107,13.17,,"Immature",,"no tag"
"Parr",2008,,2010-01-19,100,11.92,,"Immature",,"no tag"
"Parr",2008,,2010-01-22,93,11.08,,"Immature",,"no tag"
"Parr",2008,,2010-01-19,104,10.95,,"Male","Precocious","no tag"
"Parr",2008,,2010-01-20,104,12,,"Male","Precocious","no tag"
"Parr",2008,,2010-01-20,115,19.86,,"Male","Precocious","no tag"
"Parr",2008,,2010-01-21,106,12.42,,"Male","Precocious","no tag"
"Parr",2008,,2010-01-21,120,18.85,,"Male","Precocious","no tag"
"Parr",2008,,2010-01-14,101,11.33,,"Male","Precocious",
"Parr",2008,,2010-01-20,101,11.59,,"Male","Precocious",
"Parr",2008,,2010-01-19,93,9.09,,"Male","Precocious","no tag"
"Parr",2008,,2010-01-19,105,13.31,,"Male","Precocious","no tag"
"Parr",2008,,2010-01-19,103,13.48,,"Male","Precocious",
"Parr",2008,,2010-01-19,105,13.2,,"Male","Precocious","tagged but not prev. clipped"
"Parr",2008,,2010-01-15,100,10.48,,"Male","Precocious","no tag"
"Parr",2008,,2010-01-19,98,10.2,,,,
"",2016,,2018-01-22,99,9.93,,"","",""
"Parr",2016,,2018-01-04,96,9.99,,"M","Precocious",""
"Parr",2016,,2018-01-04,115,16.41,,"M","Precocious",""
"Parr",2016,,2018-01-05,108,14.74,,"M","Precocious",""
"Parr",2016,,2018-01-05,95,9.97,,"M","Precocious",""
"Parr",2016,,2018-01-10,120,17.81,,"","",""
"Parr",2016,,2018-01-10,110,13.31,,"","",""
"Parr",2016,,2018-01-11,101,11.23,,"M","Precocious",""
"Parr",2016,,2018-01-15,111,14.71,,"","","Recapture"
"",2016,,2018-01-15,109,14.45,,"","","Recapture"
"",2016,,2018-01-21,110,13.75,,"","","Recapture"
"",2016,,2018-01-22,105,12.39,,"","",""
"Exp",2016,,2018-01-16,136,23.66,,"Imm","",""
"0",1997,"File1",1998-01-30,77,4.7,,,,
"0",1997,"File1",1998-01-30,75,4.7,,,,
"0",1997,"File1",1998-02-02,77,4.9,,,,
"1",1996,"File1",1998-02-02,105,11.9,,,,
"1",1996,"File1",1998-02-02,105,11.4,,,,
"1",1996,"File1",1998-02-02,101,10.3,,,,
"1",1996,"File1",1998-02-02,101,10.1,,,,
"1",1996,"File1",1998-02-02,105,11.5,,,,
"1",1996,"File1",1998-02-04,107,13.5,,,,
"1",1996,"File1",1998-02-06,100,9.6,,,,
"0",1997,"File1",1998-02-09,67,3.1,,,,
"1",1996,"File1",1998-02-11,109,12.7,,,,
"0",1997,"File1",1999-01-29,97.69,9.73,,,,
"0",1997,"File1",1999-02-03,112.35,13.76,,,,
"0",1997,"File1",1999-02-03,105.79,11.45,,,,
"0",1997,"File1",1999-02-03,97.48,10.1,,,,
"0",1997,"File1",1999-02-04,104.12,13.44,,,,
"0",1997,"File1",1999-02-04,99.71,10.27,,,,
"0",1997,"File1",1999-02-04,107.02,12.79,,,,
"0",1997,"File1",1999-02-04,95.26,8.87,,,,
"0",1997,"File1",1999-02-05,98.94,9,,,,
"0",1997,"File1",1999-02-05,99.33,10.28,,,,
"0",1997,"File1",1999-02-08,96.41,10.15,,,,
"0",1997,"File1",1999-02-10,101.15,11.5,,,,
"0",1999,"File1",2000-01-31,77,4.3,,,,
"1",1999,"File1",2000-02-03,86.18,16.77,"M",,"Precocious",
"1",2001,"File2",2003-01-24,115,17.1,,,,
"1",2001,"File2",2003-01-24,115,17,,,,
"1",2001,"File2",2003-01-24,92,8,,,,
"1",2001,"File2",2003-01-24,92,8.1,,,,
"1",2001,"File2",2003-01-27,105,13.1,"M",,"Precocious",
"1",2001,"File2",2003-01-27,117,18.2,"M",,"Precocious",
"0",2001,"File2",2003-01-27,95,8.9,,,,
"0",2001,"File2",2003-01-27,97,9.7,,,,
"1",2001,"File2",2003-01-30,123,19.4,"M",,"Precocious",
"0",2003,"File2",2004-01-26,67,3,,,,
"0",2003,"File2",2004-01-26,74,4.5,,,,
"0",2003,"File2",2004-01-28,61,2.4,,,,
"0",2003,"File2",2004-01-30,69,3.5,,,,
"0",2003,"File2",2004-01-30,71,4,,,,
"0",2003,"File2",2004-01-30,71,5.2,,,,
"0",2003,"File2",2004-01-30,71,3.7,,,,
"0",2003,"File2",2004-01-30,67,3.3,,,,
"0",2003,"File2",2004-01-30,80,5.4,,,,
"0",2003,"File2",2004-02-02,67,3.1,,,,
"0",2003,"File2",2004-02-03,69,3.6,,,,
"0",2003,"File2",2004-02-04,70,3.7,,,,
"0",2003,"File2",2004-02-06,62,2.6,,,,
"Parr",2008,,2010-01-26,118,18.15,,"Male","Precocious","no tag"
"",2016,,2017-02-07,63,2.4,,"","Immature",""
"",2016,,2018-01-25,115,18.01,,"","","Fat belly"
"Parr",2016,,2018-01-25,105,13.06,,"","","caudal fin - ratty"
"",2016,,2018-01-29,129,23.9,,"","",""
"",2016,,2018-01-29,110,14.82,,"","",""
"",2016,,2018-01-30,104,13.46,,"","",""
"",2016,,2018-02-06,98,9.85,,"","",""
"",2016,,2018-02-06,97,9.49,,"","",""
"",2016,,2018-02-08,108,13.77,,"","",""
"",2016,,2018-02-08,111,13.9,,"","",""
"",2016,,2018-02-08,106,12.2,,"","",""
"",2016,,2018-02-08,120,18.97,,"","",""
"",2016,,2018-02-08,112,14.62,,"","",""
"",2016,,2018-02-08,113,14.53,,"","",""
"",2016,,2018-02-09,125,21.1,,"","",""
"",2016,,2018-02-12,116,17.12,,"","",""
"",2016,,2018-01-29,124,21.88,,"","",""
"",2016,,2018-01-29,108,13.89,,"","",""
"",2016,,2018-02-08,125,20.75,,"","",""
"",2016,,2018-02-08,118,19.47,,"","",""
"1",1996,"File1",1998-02-24,135,35.3,,,,
"1",1996,"File1",1998-02-24,122,32.1,,,,
"0",1996,"File1",1998-03-02,99,11.3,,,,
"1",1996,"File1",1998-03-02,128,30.7,,,,
"0",1997,"File1",1998-03-02,71,4.7,,,,
"1",1996,"File1",1998-03-02,102,11,,,,
"0",1997,"File1",1998-03-02,75,4.5,,,,
"0",1997,"File1",1998-03-02,62,3.2,,,,
"1",1996,"File1",1998-03-03,105,11.3,,,,
"1",1996,"File1",1998-03-06,122,19.3,,,,
"0",1997,"File1",1999-02-15,103.42,11.32,,,,
"0",1997,"File1",1999-02-16,98.06,8.85,,,,
"0",1997,"File1",1999-02-19,108.52,12.34,,,,
"1",1997,"File1",1999-02-19,125,19.1,,,,
"0",1997,"File1",1999-02-19,103.47,12.52,,,,
"1",1997,"File1",1999-02-19,125,24.3,,,,
"1",1997,"File1",1999-02-19,136,25.4,,,,
"1",1997,"File1",1999-02-19,132,23.3,,,,
"1",1997,"File1",1999-02-19,131,21.9,,,,
"0",1997,"File1",1999-02-22,106.73,12.11,,,,
"0",1997,"File1",1999-02-22,108.28,11.67,,,,
"0",1997,"File1",1999-02-22,101.72,10.48,,,,
"0",1997,"File1",1999-02-22,110.24,12.44,,,,
"1",1997,"File1",1999-03-01,128,21.3,,,,
"1",1997,"File1",1999-03-03,117,16.4,,,,
"0",2001,"File2",2003-02-17,95,8.6,,,,
"1",2001,"File2",2003-02-25,100,11.2,,,,
"1",2001,"File2",2003-02-25,95,9.1,,,,
"0",2001,"File2",2003-02-28,107,12.9,,,,
"1",2001,"File2",2003-03-04,132,23.4,,,,
"1",2001,"File2",2003-03-05,120,18.5,,,,
"0",2003,"File2",2004-02-16,70,3.4,,,,
"0",2003,"File2",2004-03-04,67,2.8,,,,
"Parr",2008,,2010-02-17,111,14.34,,,,"no tag dead in trap"
"",2016,,2017-03-03,55,1.5,,"","Immature",""
"",2016,,2017-03-03,68,3.2,,"","Immature",""
"",2016,,2017-03-03,68,3.3,,"","Immature",""
"",2016,,2017-03-03,62,2.2,,"","Immature",""
"",2016,,2017-03-03,63,2.6,,"","Immature",""
"",2016,,2017-03-03,53,1.6,,"","Immature",""
"",2016,,2017-03-03,55,1.9,,"","Immature",""
"",2016,,2017-03-06,70,3.4,,"","Immature",""
"Possible Hybrid",2016,,2017-03-06,69,3.3,,"","Immature",""
"",2016,,2017-03-06,60,2,,"","Immature",""
"",2016,,2017-03-06,54,1.6,,"","Immature",""
"",2016,,2017-03-06,65,2.5,,"","Immature",""
"",2015,,2017-03-06,111,16.3,,"","Immature",""
"",2016,,2017-03-06,52,1.4,,"","Immature",""
"",2016,,2017-03-06,65,2.8,,"","Immature",""
"",2016,,2017-03-06,65,3,,"","Immature",""
"",2016,,2017-03-06,70,3.6,,"","Immature",""
"",2016,,2017-03-06,65,2.6,,"","Immature",""
"",2016,,2017-03-06,60,2,,"","Immature",""
"",2016,,2017-03-06,59,2.1,,"","Immature",""
"",2016,,2017-03-06,49,1.2,,"","Immature",""
"",2016,,2017-03-06,68,3,,"","Immature",""
"",2016,,2017-03-06,72,3.9,,"","Immature","Showing signs of fungal growth? Dark markings around head"
"",2016,,2017-03-06,60,2.1,,"","Immature",""
"",2016,,2017-03-06,60,1.9,,"","Immature",""
"",2016,,2017-03-06,67,3.1,,"","Immature",""
"",2016,,2017-03-06,65,2.8,,"","Immature",""
"",2016,,2017-03-07,55,1.8,,"","Immature",""
"",2016,,2017-03-07,48,1.3,,"","Immature",""
"",2015,,2017-03-01,101,10.4,,"","Immature",""
"",2016,,2017-03-01,69,3.5,,"","Immature",""
"Possible Hybrid",2015,,2017-03-01,115,15.2,,"","Immature",""
"",2016,,2017-03-01,65,2.9,,"","Immature",""
"",2016,,2017-03-01,62,2.1,,"","Immature",""
"",2016,,2017-03-01,63,2.7,,"","Immature",""
"",2015,,2017-03-02,109,13.2,,"","Immature",""
"",2016,,2017-02-21,69,3.3,,"","Immature","labled RR250 but tagged 1 minute after fish labled RR251"
"",2015,,2017-02-25,116,17.8,,"","Immature",""
"",2016,,2017-02-27,62,2.8,,"","Immature",""
"",2016,,2017-02-27,60,2.2,,"","Immature",""
"",2016,,2017-02-27,59,2,,"","Immature",""
"",2016,,2017-02-27,62,2.6,,"","Immature",""
"",2015,,2017-02-27,95,9.6,,"","Immature",""
"",2016,,2017-02-27,70,3.4,,"","Immature",""
"",2016,,2017-02-27,65,2.9,,"","Immature",""
"",2016,,2017-02-27,65,2.8,,"","Immature",""
"",2016,,2017-02-27,67,3.1,,"","Immature",""
"",2016,,2017-02-27,57,1.9,,"","Immature",""
"",2016,,2017-02-27,60,2,,"","Immature",""
"",2016,,2017-02-27,57,2.5,,"","Immature",""
"",2016,,2017-02-27,61,2.4,,"","Immature",""
"",2015,,2017-02-27,110,15.9,,"","Immature",""
"Possible Hybrid",2015,,2017-02-27,125,20,,"","Immature",""
"",2016,,2017-02-27,54,1.4,,"","Immature",""
"",2016,,2017-02-27,56,1.8,,"","Immature",""
"",2016,,2017-02-27,57,1.8,,"","Immature",""
"",2016,,2017-02-27,56,1.8,,"","Immature",""
"",2016,,2017-02-28,55,1.8,,"","Immature",""
"",2016,,2017-02-28,62,2.8,,"","Immature",""
"",2016,,2017-02-28,68,3.5,,"","Immature",""
"",2016,,2017-02-28,69,3.4,,"","Immature",""
"Possible Hybrid",2016,,2017-02-28,68,3.6,,"","Immature",""
"",2016,,2018-02-21,93,8.92,,"","",""
"0",1997,"File1",1998-03-09,65,,,,,
"1",1996,"File1",1998-03-09,106,12.7,,,,
"1",1996,"File1",1998-03-09,109,13.7,,,,
"1",1996,"File1",1998-03-09,108,13,,,,
"1",1996,"File1",1998-03-09,112,14.3,,,,
"1",1996,"File1",1998-03-09,148,31.3,,,,
"0",1997,"File1",1998-03-11,95,9.3,,,,
"1",1996,"File1",1998-03-11,115,15.2,,,,
"1",1996,"File1",1998-03-11,108,13,,,,
"1",1996,"File1",1998-03-20,123,19.8,,,,
"0",1997,"File1",1998-03-23,59,1.9,,,,
"1",1996,"File1",1998-03-23,108,12.3,,,,
"1",1996,"File1",1998-03-24,133,25.1,,,,
"1",1996,"File1",1998-03-24,128,26.7,,,,
"1",1996,"File1",1998-03-24,109,13.9,,,,
"1",1996,"File1",1998-03-24,123,19.7,,,,
"1",1996,"File1",1998-03-24,105,13.4,,,,
"0",1997,"File1",1998-03-25,79,5.2,,,,
"1",1996,"File1",1998-03-25,118,17.5,,,,
"1",1996,"File1",1998-03-25,126,21,,,,
"1",1996,"File1",1998-03-25,127,20.2,,,,
"1",1996,"File1",1998-03-25,122,20.1,,,,
"1",1996,"File1",1998-03-25,141,28.2,,,,
"1",1996,"File1",1998-03-25,125,20.7,,,,
"1",1996,"File1",1998-03-25,120,17.9,,,,
"1",1996,"File1",1998-03-25,112,14.7,,,,
"1",1996,"File1",1998-03-25,125,18.2,,,,
"1",1996,"File1",1998-03-25,122,19.3,,,,
"1",1996,"File1",1998-03-25,127,19.1,,,,
"1",1996,"File1",1998-03-26,131,26.2,,,,
"1",1996,"File1",1998-03-26,124,19.8,,,,
"1",1996,"File1",1998-03-26,117,16.4,,,,
"1",1996,"File1",1998-03-26,107,13,,,,
"1",1996,"File1",1998-03-26,123,19.1,,,,
"1",1996,"File1",1998-03-26,117,15.6,,,,
"0",1997,"File1",1998-03-27,79,5.6,,,,
"1",1996,"File1",1998-03-27,126,19.9,,,,
"1",1996,"File1",1998-03-27,117,17.5,,,,
"1",1996,"File1",1998-03-27,120,18.3,,,,
"1",1996,"File1",1998-03-27,120,18.4,,,,
"1",1996,"File1",1998-03-27,117,16.4,,,,
"1",1996,"File1",1998-03-27,120,18.9,,,,
"1",1996,"File1",1998-03-27,118,19.3,,,,
"0",1997,"File1",1998-03-29,80,5.3,,,,
"1",1996,"File1",1998-03-29,99,10.4,,,,
"0",1997,"File1",1999-03-08,107.93,12.41,,,,
"1",1997,"File1",1999-03-08,133,21.2,,,,
"1",1997,"File1",1999-03-15,117,15.5,,,,
"1",1997,"File1",1999-03-15,126,21.6,,,,
"0",1997,"File1",1999-03-15,109.03,13.55,,,,
"1",1997,"File1",1999-03-15,113,15.9,,,,
"1",1997,"File1",1999-03-15,131,21.9,,,,
"1",1997,"File1",1999-03-15,115,15.8,,,,
"1",1997,"File1",1999-03-15,120,16.3,,,,
"1",1997,"File1",1999-03-16,126,22.6,,,,
"0",1997,"File1",1999-03-18,106.73,12.84,,,,
"0",1997,"File1",1999-03-18,100.95,10.58,,,,
"0",1997,"File1",1999-03-18,97.15,9.37,,,,
"0",1997,"File1",1999-03-18,104.56,11.93,,,,
"0",1997,"File1",1999-03-18,107.73,12.86,,,,
"0",1997,"File1",1999-03-22,99.57,10.05,,,,
"0",1997,"File1",1999-03-22,96.81,8.88,,,,
"0",1997,"File1",1999-03-22,101.29,10.28,,,,
"0",1997,"File1",1999-03-22,98.58,9.31,,,,
"0",1997,"File1",1999-03-22,99.44,8.67,,,,
"0",1997,"File1",1999-03-22,111.95,14.51,,,,
"0",1997,"File1",1999-03-22,101.63,10.82,,,,
"0",1997,"File1",1999-03-23,104.91,11.67,,,,
"1",1997,"File1",1999-03-23,132,24.4,,,,
"0",1997,"File1",1999-03-23,107.59,12.33,,,,
"1",1997,"File1",1999-03-23,130,21.8,,,,
"1",1997,"File1",1999-03-23,111,13.4,,,,
"0",1997,"File1",1999-03-23,107.61,12.41,,,,
"1",1997,"File1",1999-03-23,116,15.1,,,,
"1",1997,"File1",1999-03-23,116,16,,,,
"1",1997,"File1",1999-03-23,131,21.9,,,,
"1",1997,"File1",1999-03-23,124,18.4,,,,
"1",1997,"File1",1999-03-23,126,19.4,,,,
"0",1997,"File1",1999-03-23,97.38,9.75,,,,
"1",1997,"File1",1999-03-23,118,15.9,,,,
"0",1997,"File1",1999-03-23,102.8,10.42,,,,
"1",1997,"File1",1999-03-23,123,17.1,,,,
"1",1997,"File1",1999-03-23,123,18,,,,
"0",1997,"File1",1999-03-23,109.36,13.23,,,,
"0",1997,"File1",1999-03-23,104.73,11.91,,,,
"0",1997,"File1",1999-03-23,100.2,10.21,,,,
"0",1997,"File1",1999-03-23,100.09,10.59,,,,
"0",1997,"File1",1999-03-23,109.3,13.35,,,,
"1",1997,"File1",1999-03-24,110,14.7,,,,
"1",1997,"File1",1999-03-24,126,20.6,,,,
"0",1997,"File1",1999-03-24,98.31,11.1,,,,
"0",1997,"File1",1999-03-24,101.6,11.71,,,,
"0",1997,"File1",1999-03-24,98.22,9.37,,,,
"0",1997,"File1",1999-03-24,106.08,11.63,,,,
"0",1997,"File1",1999-03-25,106.13,12.42,,,,
"1",1997,"File1",1999-03-26,110,13.4,,,,
"1",1997,"File1",1999-03-26,145,33.6,,,,
"1",1997,"File1",1999-03-29,144,30.5,,,,
"1",1997,"File1",1999-03-29,115,14.9,,,,
"1",1997,"File1",1999-03-29,115,15.9,,,,
"1",1997,"File1",1999-03-29,143,31,,,,
"1",1997,"File1",1999-03-29,132,25.8,,,,
"0",1997,"File1",1999-03-29,104.33,10.97,,,,
"1",1997,"File1",1999-03-29,138,23.2,,,,
"1",1997,"File1",1999-03-29,139,28.1,,,,
"1",1997,"File1",1999-03-29,115,14.5,,,,
"1",1997,"File1",1999-03-29,146,31.3,,,,
"0",1997,"File1",1999-03-29,101.45,10.11,,,,
"1",1997,"File1",1999-03-29,135,26.4,,,,
"1",1997,"File1",1999-03-29,133,22.7,,,,
"1",1997,"File1",1999-03-29,145,31.1,,,,
"0",1997,"File1",1999-03-29,98.51,9.28,,,,
"1",1997,"File1",1999-03-29,132,24,,,,
"1",1997,"File1",1999-03-29,115,15.4,,,,
"1",1997,"File1",1999-03-29,122,18.5,,,,
"1",1997,"File1",1999-03-29,132,23.8,,,,
"1",1997,"File1",1999-03-29,140,24.2,,,,
"1",1997,"File1",1999-03-29,126,19.7,,,,
"1",1997,"File1",1999-03-29,152,35.8,,,,
"1",1997,"File1",1999-03-29,128,19.2,,,,
"1",1997,"File1",1999-03-29,115,17.1,,,,
"1",1997,"File1",1999-03-29,130,23.9,,,,
"1",1997,"File1",1999-03-29,124,20.4,,,,
"1",1997,"File1",1999-03-29,126,19.3,,,,
"1",1997,"File1",1999-03-29,124,19.6,,,,
"1",1997,"File1",1999-03-29,124,19.9,,,,
"0",1999,"File1",2000-03-14,85,5.7,,,,
"0",2000,"File1",2001-03-13,69,3.3,,,,
"1",1999,"File1",2001-03-13,128,20.8,,,,
"0",2000,"File1",2001-03-13,84,5.7,,,,
"1",1999,"File1",2001-03-13,112,16.1,,,,
"0",2000,"File1",2001-03-13,70,3.3,,,,
"1",1999,"File1",2001-03-13,126,21.3,,,,
"0",2000,"File1",2001-03-13,79,4.8,,,,
"1",1999,"File1",2001-03-13,134,26.3,,,,
"0",2000,"File1",2001-03-13,62,2.2,,,,
"1",1999,"File1",2001-03-13,129,21.5,,,,
"0",2000,"File1",2001-03-13,82,5.5,,,,
"1",1999,"File1",2001-03-13,109,14.1,,,,
"0",2000,"File1",2001-03-13,67,3.2,,,,
"1",1999,"File1",2001-03-13,107,12.1,,,,
"0",2000,"File1",2001-03-13,74,4,,,,
"1",1999,"File1",2001-03-13,127,21.1,,,,
"0",2000,"File1",2001-03-13,70,3.8,,,,
"1",1999,"File1",2001-03-13,111,14,,,,
"0",2000,"File1",2001-03-13,67,3,,,,
"1",1999,"File1",2001-03-13,111,13.4,,,,
"1",1999,"File1",2001-03-13,105,11.1,,,,
"0",2000,"File1",2001-03-20,73,4.2,,,,
"0",2000,"File1",2001-03-27,63,2.3,,,,
"1",1999,"File1",2001-03-27,129,22.5,,,,
"0",2000,"File1",2001-03-27,80,5.6,,,,
"1",1999,"File1",2001-03-27,127,21.4,,,,
"0",2000,"File1",2001-03-27,72,4.1,,,,
"1",1999,"File1",2001-03-27,112,14.5,,,,
"0",2000,"File1",2001-03-27,76,4.6,,,,
